time,interval,encR,encL,wR,wL,wdotR,wdotL,wddotR,wddotL,pwmR,pwmL,x,y,theta,x_ref,y_ref,theta_ref,vel_v,vel_w,e_x,e_y,e_theta,u_R,u_L,tau_R,tau_L
1548676007.000926,0.0315861701965332,398,226,6.135923151542564,6.442719309119693,0.0,7.669903939428213,0.0,191.7475984857053,673.97251277970304,318.03403186907605,0.069081005345195165,0.062029042638262394,-0.047461911273063137,0.10619783194201721,0.005181819771700103,0.10637438297271729,0.0,0.0,0.04585558305399258,-0.052960524113041009,0.14996125581881828,1.2804518463951811,0.065710341221665178,0.03744189472279158,0.017667534672201189
1548676007.048442,0.04469609260559082,418,246,6.135923151542564,6.135923151542564,0.0,-7.669903939428213,0.0,-383.4951969714106,673.97251277970304,318.03403186907605,0.076598434232052509,0.06446959724844821,-0.04377185387892045,0.10619783194201721,0.005181819771700103,0.10637438297271729,0.0,0.0,0.04585558305399258,-0.052960524113041009,0.14996125581881828,1.2804518463951811,0.065710341221665178,0.03744189472279158,0.017667534672201189
1548676007.080245,0.02898716926574707,438,267,6.135923151542564,6.442719309119693,0.0,7.669903939428213,0.0,383.4951969714106,665.36672552386847,308.49365558915315,0.080928466720307624,0.065916045942875243,-0.044133972912150578,0.11456378081521089,0.0060751143265085836,0.1147878885269165,0.0,0.0,0.039100736261459254,-0.057216867267237063,0.15885142584844381,1.2570071906642284,0.065888166963660053,0.036963795430800771,0.017137513767761028
1548676007.127797,0.042227983474731445,458,287,6.135923151542564,6.135923151542564,0.0,-7.669903939428213,0.0,-383.4951969714106,665.36672552386847,308.49365558915315,0.088224421567609429,0.068454740107067688,-0.044638005930651321,0.11456378081521089,0.0060751143265085836,0.1147878885269165,0.0,0.0,0.039100736261459254,-0.057216867267237063,0.15885142584844381,1.2570071906642284,0.065888166963660053,0.036963795430800771,0.017137513767761028
1548676007.165059,0.030314922332763672,478,308,6.135923151542564,6.442719309119693,0.0,7.669903939428213,0.0,383.4951969714106,665.36672552386847,308.49365558915315,0.093468707525062436,0.070319763594469842,-0.044950507878924954,0.12310938437466534,0.0070603772813652814,0.1233901023864746,0.0,0.0,0.032453320738076982,-0.061863572915607512,0.16834061026539957,1.2570071906642284,0.065888166963660053,0.036963795430800771,0.017137513767761028
1548676007.208418,0.045675039291381836,497,328,5.829126993965436,6.135923151542564,-7.669903939428213,-7.669903939428213,-191.7475984857053,-383.4951969714106,656.64313627503373,298.99955404863198,0.10067880437215411,0.07255587776645242,-0.045015213483599284,0.12310938437466534,0.0070603772813652814,0.1233901023864746,0.0,0.0,0.032453320738076982,-0.061863572915607512,0.16834061026539957,1.2334689333285322,0.066034948688260584,0.036479151583643288,0.016610012549483591
1548676007.24022,0.02947998046875,517,348,6.135923151542564,6.135923151542564,7.669903939428213,0.0,383.4951969714106,191.7475984857053,656.64313627503373,298.99955404863198,0.10546081967421021,0.074130425316923501,-0.047677499993708433,0.12310938437466534,0.0070603772813652814,0.1233901023864746,0.0,0.0,0.032453320738076982,-0.061863572915607512,0.16834061026539957,1.2334689333285322,0.066034948688260584,0.036479151583643288,0.016610012549483591
1548676007.287919,0.04630303382873535,537,368,6.135923151542564,6.135923151542564,0.0,0.0,-191.7475984857053,0.0,649.04199556403717,290.16248027330835,0.11278322279544434,0.076702909647180892,-0.049215867647637558,0.1314790580073221,0.0080983854546863715,0.13182389736175537,0.0,0.0,0.026046194332838144,-0.066006341545643957,0.17740771425082874,1.2104880584045179,0.066269936516917247,0.036019368680439603,0.016081617830954669
1548676007.320854,0.03157806396484375,556,388,5.829126993965436,6.135923151542564,-7.669903939428213,0.0,-191.7475984857053,0.0,649.04199556403717,290.16248027330835,0.11788973519648645,0.078304186988995383,-0.046380555393962117,0.1314790580073221,0.0080983854546863715,0.13182389736175537,0.0,0.0,0.026046194332838144,-0.066006341545643957,0.17740771425082874,1.2104880584045179,0.066269936516917247,0.036019368680439603,0.016081617830954669
1548676007.370051,0.04624199867248535,575,409,5.829126993965436,6.442719309119693,0.0,7.669903939428213,191.7475984857053,191.7475984857053,649.04199556403717,290.16248027330835,0.12431403292708129,0.08046237904666835,-0.047373968600422312,0.13998768211276083,0.0092265680414772861,0.14040699005126953,0.0,0.0,0.020021472732470336,-0.070032250088234521,0.19007273779390194,1.1875099512510454,0.067149336920516445,0.036019368680439603,0.016081617830954669
