time,interval,wR,wL,wdotR,wdotL,pwmR,pwmL,theta,vel_v,vel_w,tau_R,tau_L,x,y,centroidX,centroidY,a_hat0,a_hat1,a_hat2,a_hat3,a_hat4
155.02734899520874,0.10061097145080566,0,0,0,0,0,0,2.9420009096974091,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.1073008296587869,-1.1695190852349298,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.12792706489563,0.10061097145080566,0,0,0,0,0,0,2.9414422314240132,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10737082545803311,-1.1695183192173417,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.22785305976868,0.10061097145080566,0,0,0,0,0,0,2.941765772432972,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10725465748669726,-1.1695518732743801,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.32960104942322,0.10061097145080566,0,0,0,0,0,0,2.9418619563687813,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10726354292480393,-1.1695453017387993,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.42649722099304,0.10061097145080566,0,0,0,0,0,0,2.9420135588078766,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10725475067455108,-1.1695289198550529,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.5274920463562,0.10061097145080566,0,0,0,0,0,0,2.9420135588078766,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10725475067455108,-1.1695289198550529,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.62652015686035,0.10061097145080566,0,0,0,0,0,0,2.9420135588078766,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10725475067455108,-1.1695289198550529,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.72621703147888,0.10061097145080566,0,0,0,0,0,0,2.9420135588078766,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10725475067455108,-1.1695289198550529,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.82642722129822,0.10061097145080566,0,0,0,0,0,0,2.9420135588078766,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10725475067455108,-1.1695289198550529,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
155.92636013031006,0.10061097145080566,0,0,0,0,0,0,2.9420135588078766,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10725475067455108,-1.1695289198550529,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
170.74527716636658,15.913316011428833,0,0,0,0,269.31984136515752,218.06470520575627,2.9420135588078766,0.0,0.0,0.014962213409175418,0.012114705844764238,0.10725475067455108,-1.1695289198550529,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
170.79465699195862,0.012712955474853516,0,0,0,0,268.37381155582415,217.07558748304731,2.940561814324683,0.0,0.0,0.014909656197545786,0.012059754860169296,0.10693932514294584,-1.1695719309840205,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
170.85898208618164,0.10019207000732422,0,0,0,0,267.02797403256181,217.26711466325128,2.944870262531039,0.0,0.0,0.014834887446253433,0.012070395259069515,0.10672297114168637,-1.1695159873547183,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
170.95879411697388,0.1000680923461914,0,0,0,0,217.38255016522695,203.53372059872061,2.9790559255428031,0.0,0.0,0.012076808342512608,0.011307428922151145,0.095574525130012786,-1.1726730916906454,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.0573902130127,0.0999760627746582,0,0,0,0,159.01615285006926,183.57027165265652,3.01509757623039,0.0,0.0,0.0088342307138927368,0.010198348425147585,0.08230713969499541,-1.1767068490270585,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.1595380306244,0.09957289695739746,0,0,0,0,103.87779011105154,158.81621925174184,3.0314586538698949,0.0,0.0,0.0057709883395028637,0.008823123291763435,0.068981939318443597,-1.1807914969997459,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.25903701782227,0.09998917579650879,0,0,0,0,57.848868526394845,135.43930978031295,3.0350472573013367,0.0,0.0,0.0032138260292441582,0.0075244060989062746,0.057373805671687227,-1.1842166299557488,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.3585081100464,0.09996199607849121,0,0,0,0,11.803680075439905,109.45693798358454,3.0272661413148598,0.0,0.0,0.00065576000419110582,0.0060809409990880301,0.045142521314421237,-1.1873286788821018,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.45965099334717,0.10045409202575684,0,0,0,0,-20.172969591462216,91.553617122959366,3.0151060296512568,0.0,0.0,-0.0011207205328590121,0.0050863120623866314,0.036457235748032391,-1.1894657945688487,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.5625331401825,0.0998539924621582,0,0,0,0,-42.572799849987042,78.138301453253874,2.998890943801241,0.0,0.0,-0.0023651555472215023,0.0043410167474029933,0.0300112564739029,-1.1906500601145527,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.6567361354828,0.09978890419006348,0,0,0,0,-50.460701045726175,72.448927408130587,2.9724729486554708,0.0,0.0,-0.0028033722803181209,0.0040249404115628102,0.027019971413316222,-1.1907712394395764,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.75740814208984,0.09978890419006348,0,0,0,0,0,0,2.9545415899197311,0.0,0.0,-0.0028033722803181209,0.0040249404115628102,0.025179990578357608,-1.1908390358803707,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.85427904129028,0.09978890419006348,0,0,0,0,0,0,2.9520428059600596,0.0,0.0,-0.0028033722803181209,0.0040249404115628102,0.024871913219830684,-1.1907621468657856,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
171.9539670944214,0.09978890419006348,0,0,0,0,0,0,2.9524075607955114,0.0,0.0,-0.0028033722803181209,0.0040249404115628102,0.022810499378778409,-1.1926306235828072,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
172.05434203147888,0.09978890419006348,0,0,0,0,0,0,2.9519594022726632,0.0,0.0,-0.0028033722803181209,0.0040249404115628102,0.022749202667687186,-1.192606214984949,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
172.1555140018463,0.09978890419006348,0,0,0,0,0,0,2.9529477210169643,0.0,0.0,-0.0028033722803181209,0.0040249404115628102,0.02267724501345366,-1.1926161658153194,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
172.25338006019592,0.09978890419006348,0,0,0,0,0,0,2.9530736739444103,0.0,0.0,-0.0028033722803181209,0.0040249404115628102,0.022566929708781113,-1.1926527427923017,0.028410587396704396,-1.1623583209738735,2.0,2.0,0.01,0.01,0.01
187.6443920135498,15.970345973968506,0,0,0,0,193.81222431382795,186.70410134815313,2.9530736739444103,0.0,0.0,0.010767345795212664,0.010372450074897396,0.022566929708781113,-1.1926527427923017,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
187.6616451740265,0.0235898494720459,0,0,0,0,200.24445920860566,185.55625756361832,2.9561007768380057,0.0,0.0,0.01112469217825587,0.010308680975756573,0.023674636487776284,-1.1911408248032043,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
187.75759601593018,0.10108613967895508,0,0,0,0,193.1010895395201,183.45375678311922,2.9610626971092255,0.0,0.0,0.010727838307751116,0.010191875376839956,0.022153019944282905,-1.1915903642817078,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
187.8566870689392,0.09969091415405273,0,0,0,0,166.616222634672,172.08787092739152,2.968887619256416,0.0,0.0,0.0092564568130373334,0.0095604372737439734,0.016016402469974839,-1.1931306938177946,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
187.95609307289124,0.10063385963439941,0,0,0,0,128.29564865938002,153.06662173364708,2.9743235731173701,0.0,0.0,0.0071275360366322227,0.0085037012074248384,0.006799071930573026,-1.1952009180720446,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.05288100242615,0.09838294982910156,0,0,0,0,89.985606181050244,132.93298660680733,2.9743602182901956,0.0,0.0,0.0049992003433916802,0.0073851659226004066,-0.0026109897496944829,-1.1972942966721987,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.15564703941345,0.09996294975280762,0,0,0,0,56.502187114749681,114.85867601782402,2.9661632593748068,0.0,0.0,0.0031390103952638714,0.0063810375565457791,-0.011039659706465007,-1.1992101986354711,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.25901007652283,0.10086178779602051,0,0,0,0,26.490222683174508,95.577054877652827,2.9516261861992996,0.0,0.0,0.0014716790379541394,0.0053098363820918235,-0.019107163565440233,-1.2002294614419127,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.35855913162231,0.1006920337677002,0,0,0,0,-1.7020411181511352,84.750983483858761,2.9366589959162348,0.0,0.0,-9.4557839897285289e-05,0.0047083879713254867,-0.025938880531677897,-1.2026386863509932,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.4576461315155,0.09809994697570801,0,0,0,0,-13.73989601910854,77.132239000658515,2.9227239273850603,0.0,0.0,-0.00076332755661714111,0.004285124388925473,-0.029363579546997039,-1.2029626744901381,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.5571370124817,0.1007390022277832,0,0,0,0,-15.884171089942681,73.93523150468836,2.9081981047364778,0.0,0.0,-0.00088245394944126004,0.0041075128613715754,-0.030427081763570112,-1.2026383973928099,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
188.65083718299866,0.1007390022277832,0,0,0,0,0,0,2.9064328258557297,0.0,0.0,-0.00088245394944126004,0.0041075128613715754,-0.030452962632754023,-1.2026892187784368,-0.034282969615298607,-1.1810987107326707,2.0,2.0,0.01,0.01,0.01
